name,date,location,type,region,latitude,longitude,weather
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Corteo,Now through 1/20/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,,,
Corteo,Now through 1/20/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,,,
Bewitcher,1/20/2024,Funhouse,Music,Capitol Hill / Central District,,,
Bewitcher,1/20/2024,Funhouse,Music,Capitol Hill / Central District,,,
burn burn burn,1/20/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 3 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
burn burn burn,1/20/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 3 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Carly Ann Calbero,1/20/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"A slight chance of rain after 5pm. Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 2 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Carly Ann Calbero,1/20/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"A slight chance of rain after 5pm. Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 2 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
El Primer Instinto,1/20/2024,El Corazon,Music,Downtown,43.6529365,-70.2671548,"A chance of snow. Mostly cloudy, with a high near 22. Northwest wind 10 to 15 mph. Chance of precipitation is 30%. Little or no snow accumulation expected."
El Primer Instinto,1/20/2024,El Corazon,Music,Downtown,43.6529365,-70.2671548,"A chance of snow. Mostly cloudy, with a high near 22. Northwest wind 10 to 15 mph. Chance of precipitation is 30%. Little or no snow accumulation expected."
Gary Janetti,1/20/2024,The Neptune Theatre,Theatre,University District,,,
Gary Janetti,1/20/2024,The Neptune Theatre,Theatre,University District,,,
Jammah,1/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,,
Jammah,1/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,,
Saturday Family Concert: The Harmonica Pocket,1/20/2024,Town Hall Seattle,Music,Downtown,,,
Saturday Family Concert: The Harmonica Pocket,1/20/2024,Town Hall Seattle,Music,Downtown,,,
Seattle Thunderbirds vs. Tri-City Americans,1/20/2024,accesso ShoWare Center,Sports,South,,,
Seattle Thunderbirds vs. Tri-City Americans,1/20/2024,accesso ShoWare Center,Sports,South,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
"Hokusai: Inspiration and Influence, from The Collection of The Museum of Fine Arts, Boston",Now through 1/21/2024,Seattle Art Museum,Museums,Downtown,,,
"Hokusai: Inspiration and Influence, from The Collection of The Museum of Fine Arts, Boston",Now through 1/21/2024,Seattle Art Museum,Museums,Downtown,,,
An Evening with Chris Botti,Now through 1/21/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
An Evening with Chris Botti,Now through 1/21/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
Bluey’s Big Play,1/20/2024 through 1/21/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,"Mostly sunny, with a high near 29. Northwest wind around 13 mph."
Bluey’s Big Play,1/20/2024 through 1/21/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,"Mostly sunny, with a high near 29. Northwest wind around 13 mph."
Mike Birbiglia: Please Stop the Ride,1/20/2024 through 1/21/2024,The Moore Theatre,Theatre,Downtown,,,
Mike Birbiglia: Please Stop the Ride,1/20/2024 through 1/21/2024,The Moore Theatre,Theatre,Downtown,,,
Austin Plaine,1/21/2024,Funhouse,Music,Capitol Hill / Central District,,,
Austin Plaine,1/21/2024,Funhouse,Music,Capitol Hill / Central District,,,
Seattle Kraken vs. Toronto Maple Leafs,1/21/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Seattle Kraken vs. Toronto Maple Leafs,1/21/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Kate Alice Marshall,1/22/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,47.6146657,-122.319677,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Kate Alice Marshall,1/22/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,47.6146657,-122.319677,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Machine Head,1/22/2024,The Showbox,Music,Downtown,,,
Machine Head,1/22/2024,The Showbox,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Silent Movie Mondays – Safety Last,1/22/2024,The Paramount Theatre,Film & Media Arts,Downtown,38.030837399999996,-78.47999700513506,"Mostly sunny, with a high near 29. Northwest wind around 13 mph."
Silent Movie Mondays – Safety Last,1/22/2024,The Paramount Theatre,Film & Media Arts,Downtown,38.030837399999996,-78.47999700513506,"Mostly sunny, with a high near 29. Northwest wind around 13 mph."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024,Benaroya Hall,Readings & Lectures,Downtown,,,
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024,Benaroya Hall,Readings & Lectures,Downtown,,,
Buck Meek,1/23/2024,The Crocodile,Music,Downtown,,,
Buck Meek,1/23/2024,The Crocodile,Music,Downtown,,,
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024,Washington Park Arboretum,Tours & Attractions,University District,,,
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024,Washington Park Arboretum,Tours & Attractions,University District,,,
Synthwave DJ Dance Party,1/23/2024,High Dive,Music,Fremont / Ballard,,,
Synthwave DJ Dance Party,1/23/2024,High Dive,Music,Fremont / Ballard,,,
Wiley from Atlanta,1/23/2024,Funhouse,Music,Capitol Hill / Central District,,,
Wiley from Atlanta,1/23/2024,Funhouse,Music,Capitol Hill / Central District,,,
Winter Reverb,1/23/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950735,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Winter Reverb,1/23/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950735,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Tribute to John Williams,Now through 1/24/2024,Benaroya Hall,Music,Downtown,,,
Tribute to John Williams,Now through 1/24/2024,Benaroya Hall,Music,Downtown,,,
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
Corey Harper,1/24/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Corey Harper,1/24/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
DJ Shadow,1/24/2024,The Neptune Theatre,Music,University District,,,
DJ Shadow,1/24/2024,The Neptune Theatre,Music,University District,,,
Opera on Tap,1/24/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"A slight chance of rain after 5pm. Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 2 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Opera on Tap,1/24/2024,The Royal Room,Music,South Seattle,47.5569023,-122.2842722,"A slight chance of rain after 5pm. Partly sunny. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 2 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
PBS – Peter Band Supreme,1/24/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,,
PBS – Peter Band Supreme,1/24/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,,,
Seattle Kraken vs. Chicago Blackhawks,1/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Seattle Kraken vs. Chicago Blackhawks,1/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Silent Planet,1/24/2024,El Corazon,Music,Downtown,43.6529365,-70.2671548,"A chance of snow. Mostly cloudy, with a high near 22. Northwest wind 10 to 15 mph. Chance of precipitation is 30%. Little or no snow accumulation expected."
Silent Planet,1/24/2024,El Corazon,Music,Downtown,43.6529365,-70.2671548,"A chance of snow. Mostly cloudy, with a high near 22. Northwest wind 10 to 15 mph. Chance of precipitation is 30%. Little or no snow accumulation expected."
Stuff You Should Know,1/24/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,"Mostly sunny, with a high near 29. Northwest wind around 13 mph."
Stuff You Should Know,1/24/2024,The Paramount Theatre,Theatre,Downtown,38.030837399999996,-78.47999700513506,"Mostly sunny, with a high near 29. Northwest wind around 13 mph."
The Cooking Gene,1/24/2024,Town Hall Seattle,Readings & Lectures,Downtown,,,
The Cooking Gene,1/24/2024,Town Hall Seattle,Readings & Lectures,Downtown,,,
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,,,
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,,,
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District,,,
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,,,
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,,,
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950735,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District,47.6135323,-122.31445524950735,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,,,
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,,,
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,47.6146657,-122.319677,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,47.6146657,-122.319677,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
October London,1/25/2024,The Showbox,Music,Downtown,,,
October London,1/25/2024,The Showbox,Music,Downtown,,,
