name,date,location,type,region,latitude,longitude,weather
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,,,
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South,,,
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,,,
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown,,,
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,,,
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South,,,
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,,,
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 3 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle,47.5524903,-122.33389967462686,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 47 in the afternoon. North northeast wind around 3 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Compania Nacional de Danza,1/25/2024 through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,,,
Compania Nacional de Danza,1/25/2024 through 1/27/2024,Meany Center for the Performing Arts,Dance,University District,,,
Metropolis,1/25/2024 through 1/27/2024,Benaroya Hall,Music,Downtown,,,
Metropolis,1/25/2024 through 1/27/2024,Benaroya Hall,Music,Downtown,,,
Andy Coe Band,1/26/2024 through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,,,
Andy Coe Band,1/26/2024 through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,,,
Seattle Thunderbirds vs. Everett Silvertips,1/27/2024,accesso ShoWare Center,Sports,South,,,
The Budos Band,1/27/2024,The Showbox,Music,Downtown,,,
The Budos Band,1/27/2024,The Showbox,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,,,
The Human Family,1/27/2024,Opera Center,Music,Queen Anne / Seattle Center,,,
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,,,
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,,,
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,,,
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,,,
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,,,
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,,,
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,,,
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
Lee Ritenour and Dave Grusin,1/25/2024 through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,,,
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,,,
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,,
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,,,
Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South,,,
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,,,
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,,,
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,,,
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,,,
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,,,
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,,,
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,,,
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,,,
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,,,
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,"A slight chance of rain after 5pm. Mostly cloudy. High near 49, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,,,
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,,,
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,,,
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,,,
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,,,
JP Saxe,1/31/2024,The Showbox,Music,Downtown,,,
JP Saxe,1/31/2024,The Showbox,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,,,
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,,,
BabyTron,2/1/2024,The Showbox,Music,Downtown,,,
BabyTron,2/1/2024,The Showbox,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,,,
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,47.613954,-122.3196108,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,,,
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,,,
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,,
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,,,
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,47.6138274,-122.3196284,"A slight chance of rain after 5pm. Mostly cloudy. High near 48, with temperatures falling to around 46 in the afternoon. North northeast wind around 5 mph. Chance of precipitation is 20%. New rainfall amounts less than a tenth of an inch possible."
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,,,
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,,,
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,,,
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Poolside,2/2/2024,The Showbox,Music,Downtown,,,
Poolside,2/2/2024,The Showbox,Music,Downtown,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,,
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,,,
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,,,
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
Not Available,Not Available,Not Available,Not Available,Not Available,,,
